post_id,title,category,score,num_comments,author,collected_at
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1095,827,firloop,2026-04-08 12:19:11
47681602,Show HN: Mo – checks GitHub PRs against decisions approved in Slack,entertainment,7,0,oscarcaldera,2026-04-08 12:17:39
47681094,"Al-Khwarizmi (""Algorithm"")",worldnews,6,1,profsummergig,2026-04-08 12:20:28
47641528,Apollo Guidance Computer restoration videos,technology,89,11,mariuz,2026-04-08 12:17:34
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,312,89,player_piano,2026-04-08 12:18:06
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,114,17,ductionist,2026-04-08 12:17:19
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-08 12:22:07
47679121,Project Glasswing: Securing critical software for the AI era,technology,1157,547,Ryan5453,2026-04-08 12:16:12
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,218,26,desideratum,2026-04-08 12:18:45
47653642,Binary obfuscation used in AAA Games,sports,72,25,noztol,2026-04-08 12:16:20
47673394,"Show HN: Stop paying for Dropbox/Google Drive, use your own S3 bucket instead",entertainment,233,194,Zm44,2026-04-08 12:17:25
47655408,Show HN: I built a tiny LLM to demystify how language models work,entertainment,893,133,armanified,2026-04-08 12:17:58
47669649,Global Fuel Shortage Pushes Governments Toward Demand Controls,worldnews,15,12,toomuchtodo,2026-04-08 12:22:14
47638498,Show HN: AdaShape-3D modeler for intuitive 3D printing parts / Windows 11,entertainment,31,29,fsloth,2026-04-08 12:18:40
47680527,Russia's Fancy Bear still attacking routers to boost fake sites,worldnews,6,0,lschueller,2026-04-08 12:23:47
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,102,24,rryan,2026-04-08 12:16:53
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,304,189,keepamovin,2026-04-08 12:18:13
47660925,Issue: Claude Code is unusable for complex engineering tasks with Feb updates,technology,1302,719,StanAngeloff,2026-04-08 12:17:37
47680611,"Iranian hackers launching disruptive attacks at U.S. energy, water targets [pdf]",worldnews,30,6,lschueller,2026-04-08 12:19:08
47664308,JPMorgan warns Tesla stock could sink 60% in new note,worldnews,61,18,freediddy,2026-04-08 12:23:54
47648404,My Google Workspace account suspension,science,369,218,zenincognito,2026-04-08 12:20:36
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,65,salt4034,2026-04-08 12:19:09
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,76,42,1659447091,2026-04-08 12:23:17
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",sports,17,6,nradov,2026-04-08 12:18:27
47640728,Show HN: A game where you build a GPU,sports,954,186,Jaso1024,2026-04-08 12:18:41
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,454,287,thisislife2,2026-04-08 12:18:55
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",entertainment,285,35,karimf,2026-04-08 12:18:11
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,worldnews,45,24,tosh,2026-04-08 12:23:10
47652549,Iran's IRGC Publishes Satellite Imagery of OpenAI's $30B Stargate Datacenter,technology,76,40,alvivanco,2026-04-08 12:19:50
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,221,146,pseudolus,2026-04-08 12:21:14
47674606,Show HN: Unicode Steganography,technology,23,4,PatrickVuscan,2026-04-08 12:16:54
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,55,0,tosh,2026-04-08 12:18:22
47667504,Ask HN: How do you handle marketing as a solo technical founder?,technology,117,89,lazarkap,2026-04-08 12:18:56
47665685,Show HN: TTF-DOOM – A raycaster running inside TrueType font hinting,entertainment,64,12,4RH1T3CT0R,2026-04-08 12:18:07
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,403,100,vbtechguy,2026-04-08 12:19:00
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,27,11,brene,2026-04-08 12:17:43
